Redshift,Metallicity,Mass
2,8.244839878129318,8.184452899663297
2,8.329533884392164,8.150166926685666
2,8.329618236313763,8.08258840718454
2,8.357958115415023,7.704990395524621
2,8.393616344452346,7.6409256700563954
2,8.379416295284793,7.641058767831481
2,8.25949770743105,7.785397736678098
2,8.273628593883663,7.721247240689713
2,8.252541602875528,7.884020279850638
2,8.30874192897271,7.818875551883681
2,8.23142499787776,8.08432500248947
2,8.203431088054797,7.9837530674686
2,8.210279281804418,8.06683530983115
2,8.16160209812959,7.999483261036838
2,8.119789044386806,7.8835167487122915
2,8.133713855481508,7.899691575182719
2,8.217083264611047,7.736190708689184
2,8.273259946543634,7.736190708689184
2,8.287464733459256,8.479626761373389
2,8.329854426238715,8.3047979617181
2,8.415421732987252,8.270728148246452
2,8.415489910274024,8.150924119429238
2,8.36478283114632,8.515447028485424
2,8.350733040378014,8.427255101793037
2,8.280032271754832,8.48031608348176
2,8.280149662869418,8.676655767288603
2,8.30801834840976,8.87779891857183
2,8.29397990944094,8.766795932857288
2,8.265756518085547,8.33891128273557
2,8.314937010463145,8.304171122995783
2,8.32890970672062,8.235506920261475
2,8.421628128444064,8.821072814675889
2,8.43637812519349,9.025092223020355
2,8.44359179360263,9.234420100137998
2,8.400674347142994,9.19578904120457
2,8.522470048133927,9.234527336464625
2,8.478962771425733,9.389647168403448
2,8.450161249873092,9.646726589590916
2,8.602398774044199,9.828324709171701
2,8.602207123747354,9.250519473343104
2,8.631561842268882,8.25106239653967
2,8.587584615373949,8.566874375517404
2,8.609388214247833,8.532125724862194
2,8.719716226546328,8.532422970743223
3,4.386268578648442,4.3201462482795465
3,4.765270056165627,5.336042071547728
3,5.478737609469011,5.681542408026005
3,5.027643960203617,6.574479585192804
3,5.5890027562828335,6.574479585192804
3,5.7289432695588935,6.639900349800481
3,5.912237514424316,6.785204866489623
3,6.006008077747032,6.917226201337884
3,6.032965998431215,7.017761686389618
3,6.115057536383185,7.102475252897441
3,6.046538713046658,7.102759019353795
3,6.087700299673673,7.1195687300633566
3,6.142767232058287,7.034885497126287
3,6.184022706615588,7.051957176331243
3,6.170240187062857,7.257902545409424
3,6.324970369005317,7.188594348071478
3,6.296640424269418,7.223670355669965
3,6.253899188842507,7.171812682024585
3,6.211912275977306,7.34566166318336
3,6.169943772306504,7.275418533231441
3,6.169812036985567,7.345368192382219
3,6.1419147741515285,7.345368192382219
3,6.059527380687237,7.416138528661969
3,6.073257105462222,7.505461114927218
3,6.128356949223936,7.469265489681237
3,6.019006065603245,7.433590900282679
3,6.253698898114691,7.362850126740693
3,6.253565374526504,7.309701256068125
3,6.211381767383045,7.452076703751147
3,6.183329549474049,7.523875143324797
3,6.267467108431315,7.559882337259981
3,6.324160140363467,7.632617802799608
3,6.33815114263495,7.632922750135498
3,6.33788049204491,7.651445696761954
3,6.438505033605774,7.799646490352436
3,6.4246697289842745,7.950664842482122
3,6.453541257131885,8.008420836181953
3,6.381263807727582,7.6518023474478145
3,6.324430205044508,7.725627966489108
3,6.367109663813192,7.725370756419516
3,6.425252751202853,7.506110841950741
3,6.3675854943017525,7.6150023929118476
3,6.498028441822718,7.346248639961385
3,6.541879401983416,7.363683636836099
3,6.381979153488306,7.346493227461908
3,6.556527052914501,7.453069197162842
3,6.571137349039923,7.346101891369765
3,6.78177529785077,7.506910583192378
3,6.72083646715167,7.597478227226521
3,6.60087848456936,7.543740706410488
3,6.600596615043611,7.597984139627637
3,6.526637357801799,7.5612416182478634
3,6.497196044443449,7.707643926436398
3,6.4533345725601725,7.725885185122307
3,6.555862130293073,7.781541961896585
3,6.526219313322935,7.837547498202103
3,6.570506016958169,7.856723957111487
3,6.600138602735305,7.951353109561792
3,6.705034304469243,7.9324738670497705
3,6.689554952314356,7.951617843533939
3,6.750029993479288,7.951988485902713
3,6.765179817130602,8.164405665362066
3,6.704354321156351,8.203860644073323
3,6.555022324418879,8.243341619127337
3,6.6439693108797755,8.322541976688608
3,6.5991169974927235,8.3219878195441
3,6.423503843251207,8.463147071821648
3,5.937728530966288,8.524058275913427
3,5.9104389486109365,8.301565201895054
3,5.637331480369042,7.577017059234829
3,5.413504120356573,7.9299917060197
3,5.450996434242831,7.94791236987409
3,5.475697011697786,7.833477882381929
3,5.475843155661346,7.342678589647188
3,5.689630329266827,7.290160743545428
3,5.832214935275932,7.20330451932541
3,5.858611689081753,7.186871345890217
3,5.806154057810495,7.274062198353325
3,5.845679234868355,7.239368140708834
3,5.89858842594044,7.18730205771491
3,6.524826025103673,7.101813175253188
3,6.23842895710947,7.10200233399645
3,6.396234636225021,8.751523747886027
